fecha_aplicacion,jurisdiccion_aplicacion_id,aplicadas,csumaplicadas,labeldistrito
2021-01-21,66,75,7908,Salta
2021-01-21,70,190,3077,San Juan
2021-01-21,82,413,20174,Santa Fe
2021-01-21,86,59,5751,S del Estero
2021-01-21,90,309,8739,Tucuman
2021-01-21,94,45,1179,T del Fuego
2021-01-22,2,203,24857,CABA
2021-01-22,6,1358,100816,Buenos Aires
2021-01-22,14,53,22380,Cordoba
2021-01-22,18,734,5989,Corrientes
2021-01-22,22,82,8073,Chaco
2021-01-22,26,90,3103,Chubut
2021-01-22,30,669,8992,Entre Rios
2021-01-22,34,5,3443,Formosa
2021-01-22,46,12,2860,La Rioja
2021-01-22,50,506,9974,Mendoza
2021-01-22,54,16,5528,Misiones
2021-01-22,62,25,4488,Rio Negro
2021-01-22,66,67,7975,Salta
2021-01-22,70,166,3243,San Juan
2021-01-22,82,482,20656,Santa Fe
2021-01-22,86,52,5803,S del Estero
2021-01-22,90,437,9176,Tucuman
2021-01-22,94,73,1252,T del Fuego
2021-01-23,2,5,24862,CABA
2021-01-23,6,388,101204,Buenos Aires
2021-01-23,14,8,22388,Cordoba
2021-01-23,18,236,6225,Corrientes
2021-01-23,22,19,8092,Chaco
2021-01-23,30,61,9053,Entre Rios
2021-01-23,46,1,2861,La Rioja
2021-01-23,50,32,10006,Mendoza
2021-01-23,66,9,7984,Salta
2021-01-23,82,186,20842,Santa Fe
2021-01-23,90,141,9317,Tucuman
2021-01-23,94,31,1283,T del Fuego
2021-01-24,2,63,24925,CABA
2021-01-24,6,5,101209,Buenos Aires
2021-01-24,18,1,6226,Corrientes
2021-01-24,22,4,8096,Chaco
2021-01-24,30,1,9054,Entre Rios
2021-01-24,54,8,5536,Misiones
2021-01-24,66,2,7986,Salta
2021-01-24,70,1,3244,San Juan
2021-01-24,82,1,20843,Santa Fe
2021-01-24,86,5,5808,S del Estero
2021-01-25,2,218,25143,CABA
2021-01-25,6,5138,106347,Buenos Aires
2021-01-25,14,14,22402,Cordoba
2021-01-25,18,333,6559,Corrientes
2021-01-25,22,1,8097,Chaco
2021-01-25,26,5,3108,Chubut
2021-01-25,30,364,9418,Entre Rios
2021-01-25,34,2,3445,Formosa
2021-01-25,50,304,10310,Mendoza
2021-01-25,54,2,5538,Misiones
2021-01-25,62,10,4498,Rio Negro
2021-01-25,66,68,8054,Salta
2021-01-25,70,93,3337,San Juan
2021-01-25,74,5,2956,San Luis
2021-01-25,82,391,21234,Santa Fe
2021-01-25,86,30,5838,S del Estero
2021-01-25,90,142,9459,Tucuman
2021-01-25,94,11,1294,T del Fuego
2021-01-26,2,119,25262,CABA
2021-01-26,6,3684,110031,Buenos Aires
2021-01-26,14,57,22459,Cordoba
2021-01-26,18,174,6733,Corrientes
2021-01-26,26,5,3113,Chubut
2021-01-26,30,164,9582,Entre Rios
2021-01-26,34,11,3456,Formosa
2021-01-26,50,322,10632,Mendoza
2021-01-26,54,1,5539,Misiones
2021-01-26,58,1,3669,Neuquen
2021-01-26,62,6,4504,Rio Negro
2021-01-26,66,4,8058,Salta
2021-01-26,70,150,3487,San Juan
2021-01-26,74,5,2961,San Luis
2021-01-26,78,2,2288,Santa Cruz
