fecha,vacunadostot100,iddistrito,distrito
2021-09-09,67,22,S del Estero
2021-09-09,56,17,Salta
2021-09-09,63,18,San Juan
2021-09-09,64,19,San Luis
2021-09-09,55,20,Santa Cruz
2021-09-09,67,21,Santa Fe
2021-09-09,64,23,T del Fuego
2021-09-09,60,24,Tucumán
2021-09-10,63,2,Buenos Aires
2021-09-10,73,1,CABA
2021-09-10,71,3,Catamarca
2021-09-10,60,6,Chaco
2021-09-10,58,7,Chubut
2021-09-10,65,4,Córdoba
2021-09-10,65,5,Corrientes
2021-09-10,63,8,Entre Ríos
2021-09-10,70,9,Formosa
2021-09-10,65,10,Jujuy
2021-09-10,66,11,La Pampa
2021-09-10,67,12,La Rioja
2021-09-10,62,13,Mendoza
2021-09-10,53,14,Misiones
2021-09-10,68,15,Neuquén
2021-09-10,65,16,Río Negro
2021-09-10,68,22,S del Estero
2021-09-10,57,17,Salta
2021-09-10,63,18,San Juan
2021-09-10,64,19,San Luis
2021-09-10,55,20,Santa Cruz
2021-09-10,67,21,Santa Fe
2021-09-10,64,23,T del Fuego
2021-09-10,60,24,Tucumán
2021-09-11,63,2,Buenos Aires
2021-09-11,73,1,CABA
2021-09-11,71,3,Catamarca
2021-09-11,60,6,Chaco
2021-09-11,58,7,Chubut
2021-09-11,65,4,Córdoba
2021-09-11,65,5,Corrientes
2021-09-11,63,8,Entre Ríos
2021-09-11,70,9,Formosa
2021-09-11,65,10,Jujuy
2021-09-11,66,11,La Pampa
2021-09-11,68,12,La Rioja
2021-09-11,62,13,Mendoza
2021-09-11,53,14,Misiones
2021-09-11,68,15,Neuquén
2021-09-11,65,16,Río Negro
2021-09-11,68,22,S del Estero
2021-09-11,57,17,Salta
2021-09-11,63,18,San Juan
2021-09-11,64,19,San Luis
2021-09-11,55,20,Santa Cruz
2021-09-11,67,21,Santa Fe
2021-09-11,64,23,T del Fuego
2021-09-11,60,24,Tucumán
2021-09-12,63,2,Buenos Aires
2021-09-12,73,1,CABA
2021-09-12,71,3,Catamarca
2021-09-12,60,6,Chaco
2021-09-12,58,7,Chubut
2021-09-12,65,4,Córdoba
2021-09-12,65,5,Corrientes
2021-09-12,63,8,Entre Ríos
2021-09-12,70,9,Formosa
2021-09-12,65,10,Jujuy
2021-09-12,66,11,La Pampa
2021-09-12,68,12,La Rioja
2021-09-12,62,13,Mendoza
2021-09-12,53,14,Misiones
2021-09-12,68,15,Neuquén
2021-09-12,65,16,Río Negro
2021-09-12,68,22,S del Estero
2021-09-12,57,17,Salta
2021-09-12,63,18,San Juan
2021-09-12,64,19,San Luis
2021-09-12,55,20,Santa Cruz
2021-09-12,67,21,Santa Fe
2021-09-12,64,23,T del Fuego
2021-09-12,60,24,Tucumán
2021-09-13,63,2,Buenos Aires
2021-09-13,74,1,CABA
2021-09-13,71,3,Catamarca
2021-09-13,60,6,Chaco
2021-09-13,58,7,Chubut
2021-09-13,65,4,Córdoba
2021-09-13,65,5,Corrientes
2021-09-13,63,8,Entre Ríos
2021-09-13,70,9,Formosa
2021-09-13,65,10,Jujuy
2021-09-13,67,11,La Pampa
2021-09-13,68,12,La Rioja
2021-09-13,62,13,Mendoza
2021-09-13,53,14,Misiones
2021-09-13,68,15,Neuquén
2021-09-13,65,16,Río Negro
2021-09-13,68,22,S del Estero
2021-09-13,57,17,Salta
2021-09-13,64,18,San Juan
2021-09-13,64,19,San Luis
